Date;#fixedTickets;Average;LowerLimit;UpperLimit
2011-11;0;10,22124;0;66,05574
2011-12;0;10,22124;0;66,05574
2012-01;0;10,22124;0;66,05574
2012-02;0;10,22124;0;66,05574
2012-03;0;10,22124;0;66,05574
2012-04;0;10,22124;0;66,05574
2012-05;0;10,22124;0;66,05574
2012-06;0;10,22124;0;66,05574
2012-07;0;10,22124;0;66,05574
2012-08;0;10,22124;0;66,05574
2012-09;0;10,22124;0;66,05574
2012-10;0;10,22124;0;66,05574
2012-11;0;10,22124;0;66,05574
2012-12;0;10,22124;0;66,05574
2013, 07;1;10,22124;0;66,05574
2013, 11;0;10,22124;0;66,05574
2013, 12;5;10,22124;0;66,05574
2013-01;0;10,22124;0;66,05574
2013-02;0;10,22124;0;66,05574
2013-03;0;10,22124;0;66,05574
2013-04;0;10,22124;0;66,05574
2013-05;0;10,22124;0;66,05574
2013-06;0;10,22124;0;66,05574
2013-07;0;10,22124;0;66,05574
2013-08;0;10,22124;0;66,05574
2013-09;0;10,22124;0;66,05574
2013-10;0;10,22124;0;66,05574
2013-11;0;10,22124;0;66,05574
2013-12;0;10,22124;0;66,05574
2014, 01;15;10,22124;0;66,05574
2014, 02;5;10,22124;0;66,05574
2014, 03;35;10,22124;0;66,05574
2014, 04;11;10,22124;0;66,05574
2014, 05;29;10,22124;0;66,05574
2014, 06;7;10,22124;0;66,05574
2014, 07;12;10,22124;0;66,05574
2014, 08;57;10,22124;0;66,05574
2014, 09;62;10,22124;0;66,05574
2014, 10;57;10,22124;0;66,05574
2014, 11;64;10,22124;0;66,05574
2014, 12;46;10,22124;0;66,05574
2014-01;0;10,22124;0;66,05574
2014-02;0;10,22124;0;66,05574
2014-03;0;10,22124;0;66,05574
2014-04;0;10,22124;0;66,05574
2014-05;0;10,22124;0;66,05574
2014-06;0;10,22124;0;66,05574
2014-07;0;10,22124;0;66,05574
2014-08;0;10,22124;0;66,05574
2014-09;0;10,22124;0;66,05574
2014-10;0;10,22124;0;66,05574
2014-11;0;10,22124;0;66,05574
2014-12;0;10,22124;0;66,05574
2015, 01;19;10,22124;0;66,05574
2015, 02;25;10,22124;0;66,05574
2015, 03;47;10,22124;0;66,05574
2015, 04;36;10,22124;0;66,05574
2015, 05;21;10,22124;0;66,05574
2015, 06;54;10,22124;0;66,05574
2015, 07;30;10,22124;0;66,05574
2015, 08;40;10,22124;0;66,05574
2015, 09;66;10,22124;0;66,05574
2015, 10;41;10,22124;0;66,05574
2015, 11;28;10,22124;0;66,05574
2015, 12;43;10,22124;0;66,05574
2015-01;0;10,22124;0;66,05574
2015-02;0;10,22124;0;66,05574
2015-03;0;10,22124;0;66,05574
2015-04;0;10,22124;0;66,05574
2015-05;0;10,22124;0;66,05574
2015-06;0;10,22124;0;66,05574
2015-07;0;10,22124;0;66,05574
2015-08;0;10,22124;0;66,05574
2015-09;0;10,22124;0;66,05574
2015-10;0;10,22124;0;66,05574
2015-11;0;10,22124;0;66,05574
2015-12;0;10,22124;0;66,05574
2016, 01;59;10,22124;0;66,05574
2016, 02;32;10,22124;0;66,05574
2016, 03;24;10,22124;0;66,05574
2016, 04;41;10,22124;0;66,05574
2016, 05;49;10,22124;0;66,05574
2016, 06;35;10,22124;0;66,05574
2016, 07;43;10,22124;0;66,05574
2016, 08;6;10,22124;0;66,05574
2016-01;0;10,22124;0;66,05574
2016-02;0;10,22124;0;66,05574
2016-03;0;10,22124;0;66,05574
2016-04;0;10,22124;0;66,05574
2016-05;0;10,22124;0;66,05574
2016-06;0;10,22124;0;66,05574
2016-07;0;10,22124;0;66,05574
2016-08;0;10,22124;0;66,05574
2016-09;0;10,22124;0;66,05574
2016-10;0;10,22124;0;66,05574
2016-11;0;10,22124;0;66,05574
2016-12;0;10,22124;0;66,05574
2017-01;0;10,22124;0;66,05574
2017-02;0;10,22124;0;66,05574
2017-03;0;10,22124;0;66,05574
2017-04;0;10,22124;0;66,05574
2017-05;0;10,22124;0;66,05574
2017-06;0;10,22124;0;66,05574
2017-07;0;10,22124;0;66,05574
2017-08;0;10,22124;0;66,05574
2017-09;0;10,22124;0;66,05574
2017-10;0;10,22124;0;66,05574
2017-11;0;10,22124;0;66,05574
2017-12;0;10,22124;0;66,05574
2018, 03;10;10,22124;0;66,05574
2018-01;0;10,22124;0;66,05574
2018-02;0;10,22124;0;66,05574
2018-03;0;10,22124;0;66,05574
